Track,Model_Type,Full_Label,Parliament,Scope_Raw,Mundlak,Interaction,Predictor,exp_coef,CI_lo,CI_hi,p_value,N_rows,N_speakers,NB_alpha,Exch_alpha,Formula,Rate_type,GEE_cluster,Timestamp,Mundlak_rate,Mundlak_sentiment,Mundlak_party_status,Mundlak_orientation,Scale_sentiment,Scale_orientation
INT_SENTIMENT_X_ORIENTATION,GEE_NB_Exch,INT_SENTIMENT_X_ORIENTATION_GEE_NB_Exch,RS,RS_int_sentiment_x_orientation,False,sentiment_x_orientation,Intercept,0.0364,0.0319,0.0415,0.0,180361,534,1.864597,0.0888,fp_count ~ Speaker_gender + I((Speaker_age_at_session - 48.047898) / 10) + scale(speech_rate_syll) + Sentiment_label_float + Party_status + Party_orientation_float + Sentiment_label_float : Party_orientation_float,syll,Speaker_ID,2026-06-19_15-43-51,,,,,False,False
INT_SENTIMENT_X_ORIENTATION,GEE_NB_Exch,INT_SENTIMENT_X_ORIENTATION_GEE_NB_Exch,RS,RS_int_sentiment_x_orientation,False,sentiment_x_orientation,Speaker_gender[T.M],0.3672,0.2979,0.4527,0.0,180361,534,1.864597,0.0888,fp_count ~ Speaker_gender + I((Speaker_age_at_session - 48.047898) / 10) + scale(speech_rate_syll) + Sentiment_label_float + Party_status + Party_orientation_float + Sentiment_label_float : Party_orientation_float,syll,Speaker_ID,2026-06-19_15-43-51,,,,,False,False
INT_SENTIMENT_X_ORIENTATION,GEE_NB_Exch,INT_SENTIMENT_X_ORIENTATION_GEE_NB_Exch,RS,RS_int_sentiment_x_orientation,False,sentiment_x_orientation,I((Speaker_age_at_session - 48.047898) / 10),0.802,0.7364,0.8736,0.0,180361,534,1.864597,0.0888,fp_count ~ Speaker_gender + I((Speaker_age_at_session - 48.047898) / 10) + scale(speech_rate_syll) + Sentiment_label_float + Party_status + Party_orientation_float + Sentiment_label_float : Party_orientation_float,syll,Speaker_ID,2026-06-19_15-43-51,,,,,False,False
INT_SENTIMENT_X_ORIENTATION,GEE_NB_Exch,INT_SENTIMENT_X_ORIENTATION_GEE_NB_Exch,RS,RS_int_sentiment_x_orientation,False,sentiment_x_orientation,scale(speech_rate_syll),0.6151,0.5897,0.6415,0.0,180361,534,1.864597,0.0888,fp_count ~ Speaker_gender + I((Speaker_age_at_session - 48.047898) / 10) + scale(speech_rate_syll) + Sentiment_label_float + Party_status + Party_orientation_float + Sentiment_label_float : Party_orientation_float,syll,Speaker_ID,2026-06-19_15-43-51,,,,,False,False
INT_SENTIMENT_X_ORIENTATION,GEE_NB_Exch,INT_SENTIMENT_X_ORIENTATION_GEE_NB_Exch,RS,RS_int_sentiment_x_orientation,False,sentiment_x_orientation,Sentiment_label_float,1.0583,1.0483,1.0684,0.0,180361,534,1.864597,0.0888,fp_count ~ Speaker_gender + I((Speaker_age_at_session - 48.047898) / 10) + scale(speech_rate_syll) + Sentiment_label_float + Party_status + Party_orientation_float + Sentiment_label_float : Party_orientation_float,syll,Speaker_ID,2026-06-19_15-43-51,,,,,False,False
INT_SENTIMENT_X_ORIENTATION,GEE_NB_Exch,INT_SENTIMENT_X_ORIENTATION_GEE_NB_Exch,RS,RS_int_sentiment_x_orientation,False,sentiment_x_orientation,Party_status,1.5021,1.0454,2.1583,0.0278,180361,534,1.864597,0.0888,fp_count ~ Speaker_gender + I((Speaker_age_at_session - 48.047898) / 10) + scale(speech_rate_syll) + Sentiment_label_float + Party_status + Party_orientation_float + Sentiment_label_float : Party_orientation_float,syll,Speaker_ID,2026-06-19_15-43-51,,,,,False,False
INT_SENTIMENT_X_ORIENTATION,GEE_NB_Exch,INT_SENTIMENT_X_ORIENTATION_GEE_NB_Exch,RS,RS_int_sentiment_x_orientation,False,sentiment_x_orientation,Party_orientation_float,0.9905,0.882,1.1122,0.8712,180361,534,1.864597,0.0888,fp_count ~ Speaker_gender + I((Speaker_age_at_session - 48.047898) / 10) + scale(speech_rate_syll) + Sentiment_label_float + Party_status + Party_orientation_float + Sentiment_label_float : Party_orientation_float,syll,Speaker_ID,2026-06-19_15-43-51,,,,,False,False
INT_SENTIMENT_X_ORIENTATION,GEE_NB_Exch,INT_SENTIMENT_X_ORIENTATION_GEE_NB_Exch,RS,RS_int_sentiment_x_orientation,False,sentiment_x_orientation,Sentiment_label_float:Party_orientation_float,0.9895,0.9816,0.9975,0.0101,180361,534,1.864597,0.0888,fp_count ~ Speaker_gender + I((Speaker_age_at_session - 48.047898) / 10) + scale(speech_rate_syll) + Sentiment_label_float + Party_status + Party_orientation_float + Sentiment_label_float : Party_orientation_float,syll,Speaker_ID,2026-06-19_15-43-51,,,,,False,False
INT_SENTIMENT_X_ORIENTATION,GEE_NB_Indep,INT_SENTIMENT_X_ORIENTATION_GEE_NB_Indep,RS,RS_int_sentiment_x_orientation,False,sentiment_x_orientation,Intercept,0.0344,0.03,0.0394,0.0,180361,534,1.864597,,fp_count ~ Speaker_gender + I((Speaker_age_at_session - 48.047898) / 10) + scale(speech_rate_syll) + Sentiment_label_float + Party_status + Party_orientation_float + Sentiment_label_float : Party_orientation_float,syll,Speaker_ID,2026-06-19_15-43-51,,,,,False,False
INT_SENTIMENT_X_ORIENTATION,GEE_NB_Indep,INT_SENTIMENT_X_ORIENTATION_GEE_NB_Indep,RS,RS_int_sentiment_x_orientation,False,sentiment_x_orientation,Speaker_gender[T.M],0.4017,0.3277,0.4924,0.0,180361,534,1.864597,,fp_count ~ Speaker_gender + I((Speaker_age_at_session - 48.047898) / 10) + scale(speech_rate_syll) + Sentiment_label_float + Party_status + Party_orientation_float + Sentiment_label_float : Party_orientation_float,syll,Speaker_ID,2026-06-19_15-43-51,,,,,False,False
INT_SENTIMENT_X_ORIENTATION,GEE_NB_Indep,INT_SENTIMENT_X_ORIENTATION_GEE_NB_Indep,RS,RS_int_sentiment_x_orientation,False,sentiment_x_orientation,I((Speaker_age_at_session - 48.047898) / 10),0.7784,0.7143,0.8482,0.0,180361,534,1.864597,,fp_count ~ Speaker_gender + I((Speaker_age_at_session - 48.047898) / 10) + scale(speech_rate_syll) + Sentiment_label_float + Party_status + Party_orientation_float + Sentiment_label_float : Party_orientation_float,syll,Speaker_ID,2026-06-19_15-43-51,,,,,False,False
